"COLLPER","SELUNIT_ID","PSUIX","SEGID","LINEID","DSCOPSTT","INITSTAT","TENURE","COUNTY","STATE","CPMOVIN","LGHOCC","RNTC","RSPCODC","t_prcuse6","NOBED","NOHBH","NOFULBH","TYSTRC","tystrc_desc","ECRNTCL","PURNTCL","Collected_Or_Imputed","LATITUDE","LONGITUDE","UTAPT","UTCITY","UTSENA","UTSENO","UTSTATE","UTZIP","Clust"
"202601",182218,"S11A","B0011",2036,"I","S","R","009","MA","202210",34,2400,"01","Y","1","0","1","11","Multi, 20-49 units",2309.26432671627,2309.234266498,"Collected",42.554132,-70.974487,"","PEABODY","CRANE BROOK WAY","6113","MA","01960",1
"202601",182219,"S11A","B0011",2145,"I","S","R","009","MA","202311",0,300,"01","Y","1","0","1","12","Multi, 50 units",2723.17233182876,2720.87818085501,"Collected",42.554169,-70.975416,"","PEABODY","CRANE BROOK WAY","1317","MA","01960",1
"202601",182296,"S11A","B0015",46,"I","S","R","009","MA","201607",109,1700,"01","Y","2","0","1","7","Multi, 2 units",1684.4993991267,1376.45289117623,"Collected",42.541864,-70.88139,"","BEVERLY","COTTAGE LN","14","MA","01915",1
"202601",182308,"S11A","B0015",367,"I","S","R","009","MA","202505",3,1700,"01","Y","1","0","1","8","Multi, 3-4 units",1694.81686950236,1420.51077532664,"Collected",42.542837,-70.880835,"1","BEVERLY","BARTLETT ST","28R","MA","01915",1
"202601",182316,"S11A","B0015",521,"I","S","R","009","MA","202212",32,1800,"01","Y","2","0","1","9","Multi, 5-9 units",2585.99217544647,2538.68712759459,"Collected",42.544849,-70.880757,"3","BEVERLY","CABOT ST","87","MA","01915",1
"202601",182317,"S11A","B0015",542,"I","S","R","009","MA","202102",54,1800,"01","Y","2","0","1","9","Multi, 5-9 units",1788.64487800257,1740.62837690939,"Collected",42.543944,-70.879423,"9","BEVERLY","LOVETT ST","15","MA","01915",1
"202601",182320,"S11A","B0015",598,"I","S","R","009","MA","",0,0,"01","Y","3","0","1","8","Multi, 3-4 units",3243.92049002643,3196.20584158698,"Collected",42.544219,-70.87886,"1","BEVERLY","LOVETT ST","18","MA","01915",1
"202601",182333,"S11A","B0016",311,"I","S","R","009","MA","",0,1390,"01","Y","1","0","1","12","Multi, 50 units",1939.28356750387,1892.37585915315,"Collected",42.571402,-70.857357,"108","BEVERLY","ESSEX ST","393","MA","01915",1
"202601",182334,"S11A","B0016",342,"I","S","R","009","MA","201810",82,2250,"01","Y","1","0","1","12","Multi, 50 units",1937.19835587193,1757.15244375148,"Collected",42.571402,-70.857357,"308","BEVERLY","ESSEX ST","393","MA","01915",1
"202601",182335,"S11A","B0016",374,"I","S","R","009","MA","",0,2200,"01","Y","2","0","2","12","Multi, 50 units",2233.56373594892,2186.57084342105,"Collected",42.571405,-70.857354,"308","BEVERLY","ESSEX ST","395","MA","01915",1
"202601",182584,"S11A","B0030",69,"I","S","R","017","MA","201707",97,2699,"01","Y","2","0","2","12","Multi, 50 units",2676.90943828386,2629.49083867554,"Collected",42.640794,-71.353809,"209","LOWELL","PAWTUCKET BLVD","527","MA","01854",2
"202601",182586,"S11A","B0030",200,"I","S","R","017","MA","202105",51,1950,"01","Y","3","1","1","7","Multi, 2 units",1937.58314806648,1890.09629919256,"Collected",42.646377,-71.3409,"","LOWELL","VARNUM AVE","288","MA","01854",2
"202601",182588,"S11A","B0030",314,"I","S","R","017","MA","202409",11,1750,"01","Y","2","0","1","11","Multi, 20-49 units",1787.15230503168,1739.63567167519,"Collected",42.6468,-71.339238,"7","LOWELL","VARNUM AVE","240","MA","01854",2
"202601",182589,"S11A","B0030",348,"I","S","R","017","MA","202203",41,1250,"01","Y","0","0","1","11","Multi, 20-49 units",1389.0290275911,1193.80390522746,"Collected",42.641768,-71.345345,"6","LOWELL","PAWTUCKET BLVD","295","MA","01854",2
"202601",182591,"S11A","B0030",430,"I","S","R","017","MA","202203",41,1605,"02","J","2","0","1","11","Multi, 20-49 units",1633.57045101179,1658.51818171336,"Imputed",42.641683,-71.345873,"10","LOWELL","PAWTUCKET BLVD","309","MA","01854",2
"202601",182593,"S11A","B0030",494,"I","S","R","017","MA","201808",84,1300,"02","J","2","0","1","12","Multi, 50 units",1455.50195314339,1298.09557315655,"Imputed",42.641511,-71.346929,"10","LOWELL","PAWTUCKET BLVD","353","MA","01854",2
