"COLLPER","SELUNIT_ID","PSUIX","SEGID","LINEID","DSCOPSTT","INITSTAT","TENURE","COUNTY","STATE","CPMOVIN","LGHOCC","RNTC","RSPCODC","t_prcuse6","NOBED","NOHBH","NOFULBH","TYSTRC","tystrc_desc","ECRNTCL","PURNTCL","Collected_Or_Imputed","LATITUDE","LONGITUDE","UTAPT","UTCITY","UTSENA","UTSENO","UTSTATE","UTZIP"
"202602",160400,"N49H","B0042",190,"I","S","R","051","OR","202011",58,1273,"01","Y","0","0","1","12","Multi, 50 units",1277.09680516634,1277.07529360958,"Collected",45.537214,-122.687178,"101","PORTLAND","NW FRONT AVE","2010","OR","97209"
"202602",160401,"N49H","B0042",254,"I","S","R","051","OR","202407",14,2286,"01","Y","2","0","2","12","Multi, 50 units",2279.83574437529,2279.83574437529,"Collected",45.537953,-122.688458,"403","PORTLAND","NW FRONT AVE","2080","OR","97209"
"202602",160404,"N49H","B0042",448,"I","S","R","051","OR","202303",30,1358,"02","J","0","0","1","12","Multi, 50 units",1384.20184367831,1393.59385862723,"Imputed",45.538783,-122.689885,"412","PORTLAND","NW FRONT AVE","2220","OR","97209"
"202602",160406,"N49H","B0042",865,"I","S","R","051","OR","202501",8,1649,"02","J","1","0","1","12","Multi, 50 units",1622.68525498956,1669.75938261178,"Imputed",45.536305,-122.704825,"116","PORTLAND","NW 26TH AVE","1920","OR","97210"
"202602",160408,"N49H","B0042",1048,"I","S","R","051","OR","202306",27,1072,"01","Y","0","0","1","11","Multi, 20-49 units",991.804343229937,920.18380825643,"Collected",45.536071,-122.707573,"208","PORTLAND","NW UPSHUR ST","2737","OR","97210"
"202602",160409,"N49H","B0042",1148,"I","S","R","051","OR","202402",19,1890,"02","J","1","0","1","12","Multi, 50 units",1860.15559675203,1914.05721862074,"Imputed",45.536305,-122.704825,"110","PORTLAND","NW 26TH AVE","1920","OR","97210"
"202602",160413,"N49H","B0042",1484,"I","S","R","051","OR","202403",18,1305,"02","J","0","0","1","11","Multi, 20-49 units",1325.97408949924,1334.60819106919,"Imputed",45.536305,-122.704825,"225","PORTLAND","NW 26TH AVE","1920","OR","97210"
"202603",160557,"N49H","B0054",332,"I","S","R","051","OR","202001",69,1499,"02","J","2","1","1","2","Single Attached",1485.89176402347,1428.05088667078,"Imputed",45.492834,-122.677736,"","PORTLAND","SW VIEW POINT TER","4242","OR","97239"
"202602",160601,"N49H","B0056",636,"I","S","R","051","OR","202011",58,800,"01","D","1","0","1","1","Single Detached",788.037721285924,717.134125568842,"Collected",45.445682,-122.701617,"","PORTLAND","SW LANCASTER RD","10921B","OR","97219"
"202602",160605,"N49H","B0056",718,"I","S","R","051","OR","202108",0,2614,"03","K","3","0","2","1","Single Detached",2752.84807301196,2779.21182128936,"Imputed",45.43957,-122.70516,"","PORTLAND","SW 27TH PL","11831","OR","97219"
"202602",160611,"N49H","B0056",1015,"I","S","R","051","OR","201712",93,2450,"02","K","4","1","2","1","Single Detached",2888.83113322196,2852.35346028201,"Imputed",45.44377,-122.702717,"","PORTLAND","SW ABIGAIL CT","2515","OR","97219"
"202602",160837,"N49H","B0072",187,"I","S","R","051","OR","202208",0,1450,"01","Z","2","0","1","9","Multi, 5-9 units",1550,1397.58669959486,"",45.503556,-122.491033,"","PORTLAND","SE 167TH AVE","2572","OR","97236"
"202602",160838,"N49H","B0072",245,"I","S","R","051","OR","201002",0,1450,"01","Z","3","0","1","1","Single Detached",1918,1918,"",45.503394,-122.489654,"","PORTLAND","SE 168TH AVE","2627","OR","97236"
"202604",162955,"N49H","C0038",376,"I","S","R","051","OR","200307",274,1000,"01","Z","2","0","1","1","Single Detached",1000,1000,"",45.510863,-122.579654,"","PORTLAND","SE MARKET ST","8125","OR","97215"
"202602",162988,"N49H","C0043",18,"I","S","R","051","OR","202312",21,132,"01","Y","1","0","1","12","Multi, 50 units",1378.22,1378.22,"Collected",45.537753,-122.622762,"APT 204","PORTLAND","NE TILLAMOOK ST","3910","OR","97212"
"202602",162989,"N49H","C0043",59,"I","S","R","051","OR","202406",15,1420,"01","Y","1","0","1","12","Multi, 50 units",1420,1420,"Collected",45.537753,-122.622762,"APT 411","PORTLAND","NE TILLAMOOK ST","3910","OR","97212"
"202602",162991,"N49H","C0043",143,"I","S","R","051","OR","201805",88,1650,"01","Y","1","0","1","11","Multi, 20-49 units",1625,1625,"Collected",45.537301,-122.621913,"APT 415","PORTLAND","NE 40TH AVE","2034","OR","97212"
"202602",162992,"N49H","C0043",198,"I","S","R","051","OR","201905",76,1865,"01","Y","1","0","1","11","Multi, 20-49 units",1395,1395,"Collected",45.53775,-122.620764,"APT 402","PORTLAND","NE TILLAMOOK ST","4110","OR","97212"
